pmid,pmcid,title,journal,insert_time
22876976,PMC3545865,Detection of Merkel cell polyomavirus in cervical squamous cell carcinomas and adenocarcinomas from Japanese patients.,Virol J,2023-12-17-22-14-37
22910713,PMC3406085,Structures of Merkel cell polyomavirus VP1 complexes define a sialic acid binding site required for infection.,PLoS Pathog,2023-12-17-22-14-37
22934186,PMC3426249,The role of free tissue transfer in merkel cell carcinoma of the head and neck.,J Skin Cancer,2023-12-17-22-14-37
22937395,PMC3420371,Merkel cell carcinoma with lymphoepithelioma-like pattern: a case report of an exceedingly rare variant of merkel cell carcinoma with lymph node metastases at presentation.,Case Rep Pathol,2023-12-17-22-14-37
23024654,PMC3449125,Merkel cell carcinoma: a retrospective study on 48 cases and review of literature.,J Oncol,2023-12-17-22-14-37
23075308,PMC3494567,Radiotherapy is associated with significant improvement in local and regional control in Merkel cell carcinoma.,Radiat Oncol,2023-12-17-22-14-37
23091725,PMC3469248,Role of sentinel lymph node biopsy in the management of merkel cell carcinoma.,J Skin Cancer,2023-12-17-22-14-37
23095249,PMC3499220,Strategy for eliciting antigen-specific CD8+ T cell-mediated immune response against a cryptic CTL epitope of merkel cell polyomavirus large T antigen.,Cell Biosci,2023-12-17-22-14-37
23144552,PMC3488834,Design of potential siRNA molecules for T antigen gene silencing of Merkel Cell Polyomavirus.,Bioinformation,2023-12-17-22-14-37
23190897,PMC3570636,Systemic immune suppression predicts diminished Merkel cell carcinoma-specific survival independent of stage.,J Invest Dermatol,2023-12-17-22-14-37
23213534,PMC3508551,A review of radiotherapy for merkel cell carcinoma of the head and neck.,J Skin Cancer,2023-12-17-22-14-37
23223137,PMC3597750,Distinct gene expression profiles of viral- and nonviral-associated merkel cell carcinoma revealed by transcriptome analysis.,J Invest Dermatol,2023-12-17-22-14-37
23243614,PMC3518523,"Tumor-infiltrating lymphocytes and outcome in Merkel cell carcinoma, a virus-associated cancer.",Oncoimmunology,2023-12-17-22-14-37
23270528,PMC3560236,Merkel cell polyomavirus and trichodysplasia spinulosa-associated polyomavirus DNAs and antibodies in blood among the elderly.,BMC Infect Dis,2023-12-17-22-14-37
23272785,PMC3539965,Parotid small cell carcinoma presenting with long-term survival after surgery alone: a case report.,J Med Case Rep,2023-12-17-22-14-37
23304516,PMC3530849,Which are the cells of origin in merkel cell carcinoma?,J Skin Cancer,2023-12-17-22-14-37
23317733,PMC3964644,The addition of the surgical robot to skin cancer management.,Ann R Coll Surg Engl,2023-12-17-22-14-37
23353989,PMC3644376,Vascular E-selectin expression correlates with CD8 lymphocyte infiltration and improved outcome in Merkel cell carcinoma.,J Invest Dermatol,2023-12-17-22-14-37
23365756,PMC3556835,Merkel cell carcinoma of the head and neck: a single institutional experience.,J Skin Cancer,2023-12-17-22-14-37
23401779,PMC3557626,Merkel cell carcinoma: interdisciplinary management of a rare disease.,J Skin Cancer,2023-12-17-22-14-37
23431473,PMC3570924,A practical update of surgical management of merkel cell carcinoma of the skin.,ISRN Surg,2023-12-17-22-14-37
23476781,PMC3586496,Sentinel lymph node biopsy in nonmelanoma skin cancer patients.,J Skin Cancer,2023-12-17-22-14-37
23476782,PMC3582102,Merkel cell carcinoma: chemotherapy and emerging new therapeutic options.,J Skin Cancer,2023-12-17-22-14-37
23476783,PMC3580906,Imaging in patients with merkel cell carcinoma.,J Skin Cancer,2023-12-17-22-14-37
23496956,PMC3608173,Frequent detection of Merkel cell polyomavirus DNA in sera of HIV-1-positive patients.,Virol J,2023-12-17-22-14-37
23691324,PMC3652192,"Merkel cell carcinoma: the past, the present, and the future.",J Skin Cancer,2023-12-17-22-14-37
23717012,PMC3662914,Merkel cell polyomavirus is frequently detected in korean patients with merkel cell carcinoma.,Ann Dermatol,2023-12-17-22-14-37
23717627,PMC3662787,IMSA: integrated metagenomic sequence analysis for identification of exogenous reads in a host genomic background.,PLoS One,2023-12-17-22-14-37
23723504,PMC3667316,Pedunculated and telangiectatic merkel cell carcinoma: an unusual clinical presentation.,Indian J Dermatol,2023-12-17-22-14-37
23762689,PMC3673403,Merkel cell carcinoma of left groin: a case report and literature review.,Case Rep Oncol Med,2023-12-17-22-14-37
23856459,PMC3750327,Creation of a Merkel cell polyomavirus small T antigen-expressing murine tumor model and a DNA vaccine targeting small T antigen.,Cell Biosci,2023-12-17-22-14-37
23962809,PMC3898110,MicroRNA expression patterns related to merkel cell polyomavirus infection in human merkel cell carcinoma.,J Invest Dermatol,2023-12-17-22-14-37
24073348,PMC3773894,Merkel cell carcinoma of the retroperitoneum with no identifiable primary site.,Case Rep Oncol Med,2023-12-17-22-14-37
24098495,PMC3789663,Karyopherin alpha2 is essential for rRNA transcription and protein synthesis in proliferative keratinocytes.,PLoS One,2023-12-17-22-14-37
24099413,PMC3852773,Metastatic Merkel cell carcinoma (MCC) of pancreas and breast: a unique case.,World J Surg Oncol,2023-12-17-22-14-37
24109511,PMC3784252,Merkel cell carcinoma of the head and neck: challenges in diagnosis and therapy.,J Skin Cancer,2023-12-17-22-14-37
24179394,PMC3791948,Use of Ber-EP4 and Epithelial Specific Antigen to Differentiate Clinical Simulators of Basal Cell Carcinoma.,Biomark Cancer,2023-12-17-22-14-37
24216706,PMC3730301,The role of the immune response in merkel cell carcinoma.,Cancers (Basel),2023-12-17-22-14-37
24217011,PMC3989379,Merkel cell polyomavirus-positive Merkel cell carcinoma requires viral small T-antigen for cell proliferation.,J Invest Dermatol,2023-12-17-22-14-37
24252868,PMC3875954,Aberrant Promoter Hypermethylation of RASSF Family Members in Merkel Cell Carcinoma.,Cancers (Basel),2023-12-17-22-14-37
24260412,PMC3832378,Response of Merkel cell polyomavirus-positive merkel cell carcinoma xenografts to a survivin inhibitor.,PLoS One,2023-12-17-22-14-37
24294181,PMC3814281,Electrochemotherapy as a new therapeutic strategy in advanced Merkel cell carcinoma of head and neck region.,Radiol Oncol,2023-12-17-22-14-37
24294530,PMC3835809,Primary neuroendocrine carcinoma of ocular adnexa.,Case Rep Ophthalmol Med,2023-12-17-22-14-37
24294591,PMC3827544,The role of postoperative radiation and chemoradiation in merkel cell carcinoma: a systematic review of the literature.,Front Oncol,2023-12-17-22-14-37
24377051,PMC3860116,Secondary merkel cell carcinoma manifested in the parotid.,Case Rep Dermatol Med,2023-12-17-22-14-37
24416659,PMC3833529,Complete spontaneous regression of merkel cell carcinoma.,Glob Adv Health Med,2023-12-17-22-14-37
24436699,PMC3699249,Thoracic spinal metastasis of merkel cell carcinoma in an immunocompromised patient: case report.,Evid Based Spine Care J,2023-12-17-22-14-37
24441186,PMC3896035,Merkel cell distribution in the human eyelid.,Eur J Histochem,2023-12-17-22-14-37
24496457,PMC3960603,Prokineticins and Merkel cell polyomavirus infection in Merkel cell carcinoma.,Br J Cancer,2023-12-17-22-14-37
24555167,PMC3922991,Submerged goiter proven to be metastatic infiltration of a neuro-endocrine Merkel cell carcinoma.,Springerplus,2023-12-17-22-14-37
24574661,PMC3927344,Pathophysiology of merkel cell.,J Oral Maxillofac Pathol,2023-12-17-22-14-37
24587977,PMC3931972,"Merkel Cell Carcinoma: Epidemiology, Target, and Therapy.",Curr Dermatol Rep,2023-12-17-22-14-37
24596523,PMC3934078,Merkel cell carcinoma - description of five cases.,Contemp Oncol (Pozn),2023-12-17-22-14-37
24614157,PMC4181590,Merkel cell carcinoma dependence on bcl-2 family members for survival.,J Invest Dermatol,2023-12-17-22-14-37
24627810,PMC3929981,Characterization of the Merkel Cell Carcinoma miRNome.,J Skin Cancer,2023-12-17-22-14-37
24634783,PMC3929072,Gene expression differences predict treatment outcome of merkel cell carcinoma patients.,J Skin Cancer,2023-12-17-22-14-37
24694787,PMC3973671,The HSP70 modulator MAL3-101 inhibits Merkel cell carcinoma.,PLoS One,2023-12-17-22-14-37
24716038,PMC3970361,Severe acute radiation dermatitis in a patient with argyria.,Case Rep Oncol Med,2023-12-17-22-14-37
24742330,PMC4021101,Somatostatin receptor expression in Merkel cell carcinoma as target for molecular imaging.,BMC Cancer,2023-12-17-22-14-37
24784954,PMC4074814,Molecular imaging and therapy of merkel cell carcinoma.,Cancers (Basel),2023-12-17-22-14-37
24821131,PMC4074820,Merkel cell carcinoma of the eyelid and periocular region.,Cancers (Basel),2023-12-17-22-14-37
24834110,PMC4022531,High viral load of Merkel cell polyomavirus DNA sequences in Langerhans cell sarcoma tissues.,Infect Agent Cancer,2023-12-17-22-14-37
24840048,PMC4074823,Systemic Therapy for Merkel Cell Carcinoma: What's on the Horizon?,Cancers (Basel),2023-12-17-22-14-37
24950552,PMC3649309,A case of complete spontaneous regression of extremely advanced Merkel cell carcinoma.,J Surg Case Rep,2023-12-17-22-14-37
24961933,PMC4074816,Inflammatory cell distribution in primary merkel cell carcinoma.,Cancers (Basel),2023-12-17-22-14-37
24971335,PMC4058204,Prognostic significance of sentinel lymph node mapping in Merkel cell carcinoma: systematic review and meta-analysis of prognostic studies.,Biomed Res Int,2023-12-17-22-14-37
24978433,PMC4190540,Diagnosis and management of merkel cell carcinoma of the head and neck: current trends and controversies.,Cancers (Basel),2023-12-17-22-14-37
24978434,PMC4190541,Merkel cell polyomavirus: molecular insights into the most recently discovered human tumour virus.,Cancers (Basel),2023-12-17-22-14-37
24978436,PMC4190543,Merkel cell carcinoma in immunosuppressed patients.,Cancers (Basel),2023-12-17-22-14-37
25042800,PMC4223615,"High frequency of TERT promoter mutation in small cell carcinoma of bladder, but not in small cell carcinoma of other origins.",J Hematol Oncol,2023-12-17-22-14-37
25111691,PMC4236190,Merkel cell carcinoma expresses vasculogenic mimicry: demonstration in patients and experimental manipulation in xenografts.,Lab Invest,2023-12-17-22-14-37
25184447,PMC4153645,"Seroprevalence of Merkel cell polyomavirus in the general rural population of Anyang, China.",PLoS One,2023-12-17-22-14-37
25284964,PMC4181674,A Proteomic Study of Human Merkel Cell Carcinoma.,J Proteomics Bioinform,2023-12-17-22-14-37
25291363,PMC4188587,"Polyomavirus-associated Trichodysplasia spinulosa involves hyperproliferation, pRB phosphorylation and upregulation of p16 and p21.",PLoS One,2023-12-17-22-14-37
25301727,PMC4259404,TERT promoter mutations and gene amplification: promoting TERT expression in Merkel cell carcinoma.,Oncotarget,2023-12-17-22-14-37
25313532,PMC4397111,Merkel cell polyomavirus small T antigen is oncogenic in transgenic mice.,J Invest Dermatol,2023-12-17-22-14-37
25320307,PMC4301106,Merkel cell polyomavirus small T antigen mediates microtubule destabilization to promote cell motility and migration.,J Virol,2023-12-17-22-14-37
25329450,PMC4276959,Mutational analysis of merkel cell carcinoma.,Cancers (Basel),2023-12-17-22-14-37
25340069,PMC4202670,Paraneoplastic cerebellar degeneration associated with noncutaneous Merkel cell carcinoma.,Neurol Neuroimmunol Neuroinflamm,2023-12-17-22-14-37
25395930,PMC4221346,Merkel cell carcinoma: an illustrative case and review.,Postepy Dermatol Alergol,2023-12-17-22-14-37
25521454,PMC4366303,Assessment of cancer cell line representativeness using microarrays for Merkel cell carcinoma.,J Invest Dermatol,2023-12-17-22-14-37
25538393,PMC4274535,Fine-needle aspiration cytology of recurrent Merkel cell carcinoma of eye-brow.,J Cytol,2023-12-17-22-14-37
25574398,PMC4276678,Risk of second cancers in merkel cell carcinoma: a meta-analysis of population based cohort studies.,J Skin Cancer,2023-12-17-22-14-37
25603307,PMC4336382,Spontaneous regression of Merkel cell carcinoma: A case report and review of the literature.,Int J Surg Case Rep,2023-12-17-22-14-37
25663881,PMC4315128,Merkel cell carcinoma in the left groin: A case report and review of the literature.,Oncol Lett,2023-12-17-22-14-37
25671590,PMC4324643,Characterization of self-assembled virus-like particles of Merkel cell polyomavirus.,PLoS One,2023-12-17-22-14-37
25692082,PMC4325691,Incidental Merkel cell carcinoma in a cutaneous horn: a case report.,Dermatol Pract Concept,2023-12-17-22-14-37
25759650,PMC4327548,Merkel Cell Carcinoma Concomitant with Invasive Bowen's Disease: Immunohistochemical Investigation of Tumor-Infiltrating Leukocytes.,Case Rep Dermatol,2023-12-17-22-14-37
25798407,PMC4366717,Merkel cell carcinoma of the upper eyelid: when reconstruction becomes a challenge.,Arch Plast Surg,2023-12-17-22-14-37
25812141,PMC4374900,Identification of the neutralizing epitopes of Merkel cell polyomavirus major capsid protein within the BC and EF surface loops.,PLoS One,2023-12-17-22-14-37
25876211,PMC4470960,Merkel Cell Carcinoma with a Suppressor of Fused (SUFU) Mutation: Case Report and Potential Therapeutic Implications.,Dermatol Ther (Heidelb),2023-12-17-22-14-37
25886455,PMC4422042,Complete remission of Merkel cell carcinoma on the upper lip treated with radiation monotherapy and a literature review of Japanese cases.,World J Surg Oncol,2023-12-17-22-14-37
25908228,PMC4559027,Single-fraction radiation therapy in patients with metastatic Merkel cell carcinoma.,Cancer Med,2023-12-17-22-14-37
25937998,PMC4417281,Distinct genetic alterations in small cell carcinoma from different anatomic sites.,Exp Hematol Oncol,2023-12-17-22-14-37
25941994,PMC4622756,Disruption of BRD4 at H3K27Ac-enriched enhancer region correlates with decreased c-Myc expression in Merkel cell carcinoma.,Epigenetics,2023-12-17-22-14-37
25947008,PMC4430924,Recurrence of Merkel cell carcinoma in the gastrointestinal tract: a case report.,BMC Res Notes,2023-12-17-22-14-37
25964849,PMC4419364,Merkel cell polyomavirus infection in a patient with merkel cell carcinoma: a case report.,Jundishapur J Microbiol,2023-12-17-22-14-37
26053480,PMC4460120,Merkel Cell Carcinoma Analysis of Outcomes: A 30-Year Experience.,PLoS One,2023-12-17-22-14-37
26074970,PMC4449922,Merkel Cell Carcinoma of the Axilla and Adrenal Gland: A Case Report with Imaging and Pathologic Findings.,Case Rep Med,2023-12-17-22-14-37
26097426,PMC4455171,A Unique Case of Diffuse Metastatic Neuroendocrine Cancer with Subcutaneous Nodules on (18)F-Fluorodeoxyglucose Positron Emission Tomography/Computer Assisted Tomography.,World J Nucl Med,2023-12-17-22-14-37
26218535,PMC4517807,A Comprehensive Analysis of Replicating Merkel Cell Polyomavirus Genomes Delineates the Viral Transcription Program and Suggests a Role for mcv-miR-M1 in Episomal Persistence.,PLoS Pathog,2023-12-17-22-14-37
26225292,PMC4516752,Merkel Cell Spinal Metastasis: Management in the Setting of a Poor Prognosis.,Global Spine J,2023-12-17-22-14-37
26225333,PMC4513408,Merkel cell carcinoma of the abdominal wall.,Indian Dermatol Online J,2023-12-17-22-14-37
26285790,PMC4540718,Retinal imaging with en face and cross-sectional optical coherence tomography delineates outer retinal changes in cancer-associated retinopathy secondary to Merkel cell carcinoma.,J Ophthalmic Inflamm Infect,2023-12-17-22-14-37
26299616,PMC4694915,"Evaluating blood levels of neuron specific enolase, chromogranin A, and circulating tumor cells as Merkel cell carcinoma biomarkers.",Oncotarget,2023-12-17-22-14-37
26316785,PMC4548751,"Merkel cell carcinoma of the head and neck: pathogenesis, current and emerging treatment options.",Onco Targets Ther,2023-12-17-22-14-37
26425135,PMC4564912,Merkel cell carcinoma presenting as malignant ascites: A case report and review of literature.,Cytojournal,2023-12-17-22-14-37
26483848,PMC4610041,"Merkel cell polyomavirus (MCV) T-antigen seroreactivity, MCV DNA in eyebrow hairs, and squamous cell carcinoma.",Infect Agent Cancer,2023-12-17-22-14-37
26536665,PMC4872734,Dual mTOR inhibitor MLN0128 suppresses Merkel cell carcinoma (MCC) xenograft tumor growth.,Oncotarget,2023-12-17-22-14-37
26594171,PMC4650991,"Multiple Primary Merkel Cell Carcinomas Presenting as Pruritic, Painful Lower Leg Tumors.",Case Rep Dermatol,2023-12-17-22-14-37
26607425,PMC4660833,Unexpected maspin immunoreactivity in Merkel cell carcinoma.,Diagn Pathol,2023-12-17-22-14-37
26655088,PMC4823115,Mutational landscape of MCPyV-positive and MCPyV-negative Merkel cell carcinomas with implications for immunotherapy.,Oncotarget,2023-12-17-22-14-37
26708276,PMC4756087,Primary retroperitoneal Merkel cell carcinoma: Case report and literature review.,Int J Surg Case Rep,2023-12-17-22-14-37
26759633,PMC4697032,Anaemia due to gastric haemorrhage by a metastatic Merkel cell carcinoma.,Prz Gastroenterol,2023-12-17-22-14-37
26788270,PMC4703916,Spontaneous Regression of Primitive Merkel Cell Carcinoma.,Rare Tumors,2023-12-17-22-14-37
26824006,PMC4725615,Response to Anti-PD-1 Therapy in Metastatic Merkel Cell Carcinoma Metastatic to the Heart and Pancreas.,Cureus,2023-12-17-22-14-37
26833217,PMC4736155,The dual specificity phosphatase 2 gene is hypermethylated in human cancer and regulated by epigenetic mechanisms.,BMC Cancer,2023-12-17-22-14-37
26858924,PMC4739748,Merkel Cell Carcinoma: When Does Size Matter for Radiotherapy?,Cureus,2023-12-17-22-14-37
26902929,PMC4763224,Reversal of epigenetic silencing of MHC class I chain-related protein A and B improves immune recognition of Merkel cell carcinoma.,Sci Rep,2023-12-17-22-14-37
26904196,PMC4720715,Merkel cell carcinoma of unknown primary site; case presentation and review of the literature.,Ann Med Surg (Lond),2023-12-17-22-14-37
26943398,PMC4747964,A case of long-term survival following hepatectomy for liver metastasis of Merkel cell carcinoma.,Surg Case Rep,2023-12-17-22-14-37
26958119,PMC4764306,[Merkel cell carcinoma: a new observation].,Pan Afr Med J,2023-12-17-22-14-37
26961907,PMC4859861,"Phase I study of IMGN901, a CD56-targeting antibody-drug conjugate, in patients with CD56-positive solid tumors.",Invest New Drugs,2023-12-17-22-14-37
26981779,PMC5029639,Genomic portfolio of Merkel cell carcinoma as determined by comprehensive genomic profiling: implications for targeted therapeutics.,Oncotarget,2023-12-17-22-14-37
27051728,PMC4808721,Combined squamous cell carcinoma and Merkel cell carcinoma of the vulva: Role of human papillomavirus and Merkel cell polyomavirus.,JAAD Case Rep,2023-12-17-22-14-37
27051805,PMC4809574,Merkel cell carcinoma in organ transplant recipients: Case reports and review of the literature.,JAAD Case Rep,2023-12-17-22-14-37
27051816,PMC4809439,Dramatic response of an inoperable Merkel cell carcinoma with imatinib.,JAAD Case Rep,2023-12-17-22-14-37
